uniq_id,name,name_s,season,Premiere,Episode,episode_duration,channel,permission,writer,actor1,actor2,actor3,genre1,genre2,genre3,genre4,genre5,aka1,aka2,aka3,country,language,IMDb,score,review,5star,4star,3star,2star,1star
https://www.douban.com/doubanapp/dispatch?uri=/tv/35242858,西泠印社,西泠印社,,2020-11-18,6,40分钟,哔哩哔哩,免费观看, 张拓,,,, 纪录片,,,,,,,,中国大陆,汉语普通话,tt13534790,8.7,872,47.8%,47.8%,9.0%,3.0%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35053287,师父！我要跳舞了,师父！我要跳舞了,,2020-05-14,8,66分钟,优酷视频,VIP免费观看, 顾菡丹,韩宇,余衍林,王晨艺, 歌舞,儿童,真人秀,,, 师父我要跳舞了,Let’s dance,,中国大陆,汉语普通话,,8.8,3799,48.0%,48.0%,6.5%,0.0%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35234545,TNT春节太闹腾,TNT春节太闹腾,,2020-01-21,7,,,,,刘耀文,马嘉祺,丁程鑫, 儿童,真人秀,,,,,,,中国大陆,汉语普通话,,,,,,,,
https://www.douban.com/doubanapp/dispatch?uri=/tv/35088857,无上神帝,无上神帝,,2020-05-18,,8分钟,腾讯视频,VIP免费观看, 陈安军,溪林,郭懿骧,老鬼, 动画,,,,, Supreme God Emperor,,,中国大陆,汉语普通话,,,,,,,,
https://www.douban.com/doubanapp/dispatch?uri=/tv/35056431,相信未来义演,相信未来义演,,2020-05-04,5,142分钟,咪咕视频,免费观看,,王菲,常石磊,朴树, 音乐,歌舞,真人秀,,, Believe in the Future,,,中国大陆,汉语普通话,,,,,,,,
https://www.douban.com/doubanapp/dispatch?uri=/tv/26852902,彼岸花,彼岸花,,2020-05-01,50,45分钟,爱奇艺视频,VIP免费观看, 王静茹,林允,宋威龙,何润东, 剧情,爱情,,,, Beautiful Reborn Flower,,,中国大陆,汉语普通话,tt12234290,2.8,5647,2.6%,2.6%,3.9%,15.8%,76.3%
https://www.douban.com/doubanapp/dispatch?uri=/tv/26852902,彼岸花,彼岸花,,2020-05-01,50,45分钟,腾讯视频,VIP免费观看, 王静茹,林允,宋威龙,何润东, 剧情,爱情,,,, Beautiful Reborn Flower,,,中国大陆,汉语普通话,tt12234290,2.8,5647,2.6%,2.6%,3.9%,15.8%,76.3%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35031520,笑起来真好看,笑起来真好看,,2020-05-08,12,78分钟,腾讯视频,免费观看, 高冰,谢娜,沈腾,李诞, 脱口秀,,,,, 非凡的超越,,,中国大陆,汉语普通话,,3.0,8950,2.5%,2.5%,9.2%,19.2%,67.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35031520,笑起来真好看,笑起来真好看,,2020-05-08,12,78分钟,爱奇艺视频,免费观看, 高冰,谢娜,沈腾,李诞, 脱口秀,,,,, 非凡的超越,,,中国大陆,汉语普通话,,3.0,8950,2.5%,2.5%,9.2%,19.2%,67.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35031520,笑起来真好看,笑起来真好看,,2020-05-08,12,78分钟,芒果TV,VIP免费观看, 高冰,谢娜,沈腾,李诞, 脱口秀,,,,, 非凡的超越,,,中国大陆,汉语普通话,,3.0,8950,2.5%,2.5%,9.2%,19.2%,67.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35030414,不思异：辞典2,不思异：辞典2,2,2020-08-23,12,3分钟,芒果TV,免费观看, 王梦岑,邢昀,刘巴特尔,孙嘉俊, 悬疑,惊悚,,,,,,,中国大陆,汉语普通话,,4.7,1342,3.3%,3.3%,29.5%,49.2%,13.1%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35030414,不思异：辞典2,不思异：辞典2,2,2020-08-23,12,3分钟,哔哩哔哩,免费观看, 王梦岑,邢昀,刘巴特尔,孙嘉俊, 悬疑,惊悚,,,,,,,中国大陆,汉语普通话,,4.7,1342,3.3%,3.3%,29.5%,49.2%,13.1%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34801087,三嫁惹君心,三嫁惹君心,,2020-09-09,35,47分钟,爱奇艺视频,VIP免费观看, 韩佩贞,邢昭林,肖燕,吴奇隆, 爱情,古装,,,,,,,中国大陆,汉语普通话,tt13063666,4.8,3281,6.7%,6.7%,19.2%,30.8%,27.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35196687,九宫奇局,九宫奇局,,2020-09-28,24,45分钟,优酷视频,VIP免费观看, 酒叔,吕昀峰,蒋易,蒋蕊泽, 悬疑,冒险,,,, 九宫密码,,,中国大陆,汉语普通话,,5.5,1108,11.0%,11.0%,32.9%,34.2%,12.3%
