actor,weibo_name,follower
王冠逸,王冠逸Lawrence,530.6万
陈昊明,陈昊明,53.3万
谢雨琪,No weibo account,
热依扎,热依扎,589.5万
孙延恩,No weibo account,
姚卓君,姚卓君,3.6万
赵丽颖,赵丽颖,9058万
蔡文静,蔡文静,566.9万
古力娜扎,我是娜扎,2239.6万
陈湜 Shi Che,陳-湜,61.9万
刘雨昕,刘雨昕,2382万
寇世勋,No weibo account,
崔健,崔健BlueBone手机,1.3万
单霁翔,No weibo account,
杨洋,杨洋,5713.5万
韩乔生,大嘴韩乔生,1411万
傅孟柏,Mpaul傅孟柏,183.7万
于文文,Kelly于文文,659万
邹元清,邹元清yuan,15.1万
李诗萌,李诗萌萌,16.4万
吕归尘,No weibo account,
张含韵,张含韵,1167万
韩宇辰,韩宇辰Alan,44.6万
朱光祖,朱光祖,55
蒋昌建,蒋大哥,57万
闫肃 Su Yan,闫肃,70.6万
王燕阳,-王名扬-,189.1万
孙艺洲,孙艺洲,1237.5万
杨霖,杨霖_TY,111万
郑恺,郑恺,4576.5万
管泽元,管泽元,740.7万
郭俊辰,郭俊辰_Fiction,1332.2万
夏海青,No weibo account,
周大为,周大为-,100.7万
刘人语,刘人语Reyi_,764.9万
郎朗,郎朗,1698.4万
钟巍,钟巍,3560
曾梦玉,No weibo account,
张凌赫,张凌赫z,579.2万
赵毅,赵毅Joey,51.8万
乔振宇,乔振宇,1010.5万
啊吗粽,啊吗粽,118.8万
郭敬明,郭敬明,4047.8万
王若珊,王若珊,62.7万
刘寒羽,LHY刘寒羽,191
迟嘉,Keanu迟嘉,107.8万
本间贵史,本间贵史的家,9万
胡文喆,胡文喆_,214.5万
朱一龙,朱一龙,3087.9万
罗正,罗正_LZ,418.3万
苏有朋,蘇有朋,2792.3万
尼格买提,尼格买提,351.3万
张梓豫,张梓豫ziyu,1.4万
赵铁柱,恶搞赵铁柱,23.8万
陈奕颖,陈奕颖_,34.3万
朱蓉蓉,Sakura山柰,2.9万
吴泽南,武之林-吴泽南,244
羊仔,酸奶桃子饼干,12.9万
王建国,死胖子王建国,216万
李治廷,李治廷,1266.7万
吾皇猫,吾皇的一间宇宙,13万
★⑥檤轮囬★,No weibo account,
张沐兮,张沐兮_Rainy,20.2万
李子峰,李子锋Lee,247.7万
周柏豪 ,周柏豪Pakho,491.3万
肖宇梁,肖宇梁Rainco,410.6万
李维嘉,李维嘉,3131.3万
伯远,伯远,373.4万
