剧名,集数,制作,首播,主演,题材
蛋黄人,12,2016,8月16日 爱奇艺,林柏宏、虞朗、于翔、陈碧舸、高至霆、范立美、万国鹏,科幻
外星女生柴小七,28,2018,8月19日 腾讯视频,徐志贤、万鹏、杨玥、王宥钧、李铭顺、张萌,科幻
金斩，有何贵干？,12,2019,8月20日 腾讯视频,谢兴阳、叶盛佳,青春
走进你的记忆,24,2018,8月21日 腾讯视频,赵志伟、宋妍霏、钟祺、汪卓成、吴恙、魏巍,青春
象限之眼,12,2018,8月26日 爱奇艺,郭万超、廖越,悬疑
九千米爱情,24,2018,8月29日 腾讯视频,王以纶、李婷婷,青春
伪钞者之末路,24,2018,9月3日 爱奇艺,吴优、李卓阳、郝平,悬疑
你是我眼中的山川和海洋,24,2018,9月3日 优酷,黄圣池、樊治欣,青春
命悬一线的浪漫,12,2017,9月6日 爱奇艺,李汶翰、苏梦芸,都市
飞虎之雷霆极战,30,2018,9月6日 优酷,苗侨伟、黄宗泽、吴卓羲、李·佩斯、马国明、吴启华,涉案
极限17：滑魂,12,2019,9月10日 腾讯视频/芒果TV,郭子凡、邓恩熙,春青
我是班主任,13,2019,9月10日 优酷,喻恩泰、贾梓媛、常仕欣、王俊凯、关晓彤、柳岩、陈月末、岳跃利,春青
湾湾暖辰光,13,2018,9月11日 爱奇艺,何佳颖、周晨晞、朱俊麟,都市
失恋疗养院,12,2019,9月18日 爱奇艺,盖玥希、裴子添、贾宗超、胡丹丹（客串:蒋毅、徐申东）,都市
哪里有彩虹告诉我,31,2018,9月20日 芒果TV,李海娜、侯东、朱涵驿,都市
国民老公2,26,2019,9月23日 腾讯视频,熊梓淇、赖雨濛、虞祎杰、陈姝君、陈诗敏,都市
极限17：扣杀,12,2019,9月24日 腾讯视频/芒果TV,朱致灵、徐梦洁、邱虹凯,春青
青柠男女第一季,12,2017,9月24日 爱奇艺,王燕阳、徐晓璐、孙伟豪、赵文龙,都市
上锁的房间,26,2018,9月26日 优酷,金世佳、啜妮、陈奕龙、肖顺尧,悬疑
外貌至上主义,38,2019,9月26日 腾讯视频,张大大、朴所罗门、王子璇、李玉玺,青春
门风传(第一部),13,2019,9月30日 爱奇艺,潘兴源、马小雅、高泽群,乡土
别碰我心底的小柔软,20,2018,10月7日 腾讯视频/优酷/芒果TV,易恒、辛瑞琪、倪言、蔡宜达,青春
我不能恋爱的女朋友,28,2018,10月8日 优酷,许魏洲、乔欣、周艺轩、王嘉宁、王亮、张沐莀、王嘉宁、徐洁儿、姬天语,青春
青柠男女第二季,12,2017,10月9日 爱奇艺,王燕阳、徐晓璐、孙伟豪、赵文龙,都市
满满喜欢你,32,2018,10月10日 腾讯视频/芒果TV,鲁照华、刘昱晗,青春
明月照我心,36,2019,10月14日 腾讯视频,方逸伦、凌美仕、张博涵（客串:张天霖、陶珞依）,古装
进击的实习生2：网红计划,10,2018,10月14日 IPTV熊猫体娱,程泓鑫、王奕嘉、李波、曹欣悦、马嘉伟,青春
竹马钢琴师,28,2018,10月17日 优酷/芒果TV,方逸伦、金雯昕、文苡帆、李梦颖,都市
没有秘密的你,32,2019,10月17日 腾讯视频,戚薇、金瀚、王阳明、黄梦莹、黄一琳,都市
蜀汉酒楼,12,2018,10月18日 爱奇艺,许君聪、代文雯、傅迦、王嘉宁、梁杰理、黄新皓、谢祖武,古装
时空来电,32,2018,10月23日 腾讯视频,李小冉、杜淳、王天辰,悬疑
水墨人生,24,2019,10月25日 爱奇艺,吕小雨、冯荔军、李莎旻子、白力嘎、陈梦希、王迩忆璇、刘泽庭,民初
生活对我下手了2,40,2019,10月28日 爱奇艺,辣目洋子（客串:赵天宇、阿云嘎、冯建宇、周彦辰、董力、于小彤、白客）,都市
