剧名,集数,制作,首播,主演,题材
立秋,44,2018,7月11日 宁波新闻综合频道,王仁君、郑合惠子、斯琴高娃、吴京安、郭冬临,年代
逐梦蓝天,38,2020,7月27日 央视一套,张博、李乃文、黄曼、徐小飒,改革
扫黑风暴,28,2020,8月9日 北京/东方卫视,孙红雷、张艺兴、刘奕君,涉案
燃烧大地,37,2020,8月10日 东方影视频道（首播），9月27日 山东/安徽卫视（上星）,陈龙、柴碧云、徐小飒,革命
那些日子,20,2020,8月10日 江苏卫视(21:10),群星,乡土
玫瑰行者,24,2019,8月11日 优酷,郑业成、林鹏,涉案
花开山乡,38,2020,8月29日 央视一套,王雷、李小萌、曹云金,乡土
茶乡花正开,24,2019,9月1日 黄岛电视台新闻频道,张阳阳、祖金良,乡土
代号·山豹,36,2016,9月2日 央视八套,邢佳栋,抗战
你好检察官,42,2019,9月8日 浙江卫视,孙怡、张昊唯,涉案
双探,16,2019,9月9日 腾讯视频,段奕宏、董成鹏,悬疑
火红年华,32,2019,9月25日 央视一套,林江国、孙宁,改革
功勋,48,2020,9月26日 浙江/江苏/北京/东方卫视,群星,军旅
红旗渠,37,2020,10月17日 央视一套,于震、安悦溪,乡土
第十二秒,37,2018,10月18日 湖南卫视芒果季风,任重、万茜,涉案
突围,45,2018,10月21日 浙江/东方卫视,靳东、闫妮、黄志忠,改革
八女投江,35,2015,10月21日 youtube,小李琳、赫子铭,革命
前行者,40,2020,10月22日 北京卫视,张鲁一、聂远、韩雪、郭晓婷,革命
大英雄,45,2018,10月26日 东方影视频道,李佳航、贾青,革命
和平之舟,32,2021,11月4日 央视一套,陈坤、张天爱,军旅
铸匠,45,2017,11月6日 央视八套（22:20）,韩雯雯、淳于珊珊,年代
我和我的三个姐姐,40,2020,11月18日 央视八套,林家川、马藜,乡土
民警老林的幸福生活,40,2019,11月22日 优酷,林永健、梅婷,涉案
香山叶正红,35,2020,11月22日 央视一套,唐国强、言午、王伍福、郭连文,革命
也平凡,31,2018,12月6日 东方卫视,郑恺、张国立、林峯,悬疑
对手,40,2020,12月16日 央视八套,郭京飞、谭卓、颜丙燕、宁理,谍战
问天,36,2020,12月17日 央视一套,凌潇肃、何雨晴、耿乐、吴健,改革
王牌部队,40,2020,12月26日 江苏卫视,黄景瑜、肖战、钟楚曦,军旅
虎胆巍城,37,2020,12月26日 深圳电视剧频道（首播），11月30日 央视八套（上星）,徐佳、王文绮、齐奎、郭家铭（客串ː张国强）,革命
红海滩,38,2018,12月30日 泰州一套,张粟、郭玮洁、巫刚,抗战
楚天遥 / 炮灰女配自救指南,,,2021年3月开机，2021年5月停工,黄灿灿、韩沐伯,古装
舒克与桃花,40,2016,1月1日 芒果TV,陈晓、颖儿,都市
